kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
1.163.30.108,74,spam,20.10.2019 06:10,1
1.53.221.68,74,spam,26.06.2018 01:40,1
1.55.176.34,74,spam,30.09.2016 22:40,1
1.164.128.139,74,spam,11.04.2020 14:00,1
1.162.96.239,74,spam,12.04.2020 06:00,1
1.160.167.3,74,spam,12.04.2020 06:00,1
1.160.8.142,74,spam,12.04.2020 06:00,1
1.160.163.165,74,spam,15.01.2020 06:30,1
1.164.175.61,74,spam,02.01.2020 05:50,1
1.162.103.13,74,spam,16.11.2019 06:00,1
1.160.160.132,74,spam,08.11.2019 09:50,1
1.53.5.81,74,spam,06.09.2019 18:10,1
1.162.98.192,74,spam,20.08.2019 10:20,1
1.55.239.229,74,spam,03.10.2016 03:10,1
1.52.57.205,74,spam,30.08.2016 04:00,1
1.55.204.146,74,spam,04.08.2016 06:40,1
1.164.173.146,74,spam,05.04.2020 05:50,1
1.54.207.58,74,spam,12.04.2020 01:50,1
1.162.122.150,74,spam,12.04.2020 01:50,1
1.160.33.138,74,spam,12.04.2020 01:50,1
1.163.26.4,74,spam,30.08.2016 17:30,1
1.52.201.110,74,spam,28.02.2017 23:20,1
1.55.108.58,74,spam,18.05.2016 02:20,1
1.52.235.7,74,spam,11.04.2020 17:50,1
1.52.58.38,74,spam,11.04.2020 14:00,1
1.54.251.163,74,spam,11.04.2020 14:00,1
1.53.208.143,74,spam,23.03.2020 14:00,1
1.52.194.199,74,spam,11.04.2020 10:00,1
1.162.123.160,74,spam,11.04.2020 06:10,1
1.162.160.129,74,spam,11.04.2020 06:10,1
1.53.156.7,74,spam,11.04.2020 06:10,1
1.55.171.143,74,spam,11.04.2020 06:10,1
1.164.174.44,74,spam,11.04.2020 06:10,1
1.55.94.93,74,spam,23.10.2019 18:11,1
1.162.104.180,74,spam,10.04.2020 02:00,1
1.52.196.126,74,spam,07.03.2020 14:00,1
1.55.219.82,74,spam,06.11.2019 10:10,1
1.162.108.102,74,spam,13.01.2020 02:30,1
1.160.167.222,74,spam,14.03.2020 06:00,1
1.162.97.50,74,spam,06.04.2020 06:00,1
1.161.162.182,74,spam,28.09.2018 02:00,1
1.160.160.66,74,spam,29.03.2020 10:00,1
1.54.169.72,74,spam,31.03.2020 02:10,1
1.46.10.29,74,spam,10.04.2020 09:50,1
1.53.253.16,74,spam,10.04.2020 17:50,1
1.54.30.94,74,spam,10.04.2020 17:50,1
1.53.211.91,74,spam,10.04.2020 13:50,1
1.53.112.169,74,spam,10.04.2020 13:50,1
1.22.125.8,74,spam,10.04.2020 13:50,1
1.52.9.82,74,spam,07.04.2020 09:50,1
1.52.194.168,74,spam,10.04.2020 09:50,1
1.162.193.77,74,spam,10.04.2020 09:50,1
1.22.193.17,74,spam,31.03.2020 18:00,1
1.164.170.99,74,spam,06.12.2019 05:50,1
1.55.93.74,74,spam,17.08.2017 06:40,1
1.54.5.1,74,spam,30.03.2020 05:50,1
1.162.163.15,74,spam,10.04.2020 02:00,1
1.22.165.35,74,spam,10.04.2020 02:00,1
1.55.55.180,74,spam,10.04.2020 02:00,1
1.55.55.233,74,spam,10.04.2020 02:00,1
1.164.173.248,74,spam,19.03.2020 06:10,1
1.53.237.173,74,spam,09.04.2020 22:00,1
1.53.199.192,74,spam,29.11.2016 14:40,1
1.54.251.241,74,spam,09.04.2020 18:00,1
1.52.199.23,74,spam,05.04.2020 14:00,1
1.55.142.229,74,spam,04.08.2016 15:20,1
1.52.205.238,74,spam,09.04.2020 13:50,1
1.55.207.151,74,spam,02.08.2016 02:50,1
1.55.51.47,74,spam,09.04.2020 10:00,1
1.162.56.139,74,spam,09.04.2020 10:00,1
1.54.214.8,74,spam,28.06.2017 06:30,1
1.162.192.17,74,spam,09.04.2020 06:00,1
1.162.192.60,74,spam,09.04.2020 06:00,1
1.163.28.110,74,spam,09.04.2020 06:00,1
1.163.33.144,74,spam,09.04.2020 06:00,1
1.53.225.212,74,spam,09.04.2020 06:00,1
1.164.171.147,74,spam,25.03.2020 09:50,1
1.53.210.42,74,spam,23.08.2016 02:40,1
1.52.66.191,74,spam,06.06.2016 14:30,1
1.47.15.222,74,spam,06.04.2020 17:50,1
1.160.16.74,74,spam,08.04.2020 10:00,1
1.39.29.44,74,spam,08.04.2020 10:00,1
1.164.175.231,74,spam,08.04.2020 10:00,1
1.163.38.218,74,spam,05.11.2019 05:50,1
1.53.114.231,74,spam,01.08.2019 06:20,1
1.55.235.106,74,spam,30.06.2017 20:10,1
1.54.18.242,74,spam,08.04.2020 06:10,1
1.162.217.210,74,spam,08.04.2020 06:10,1
1.162.105.14,74,spam,08.04.2020 06:10,1
1.23.253.34,74,spam,08.04.2020 06:10,1
1.160.6.61,74,spam,08.04.2020 06:10,1
1.55.206.99,74,spam,06.06.2016 07:00,1
1.52.213.27,74,spam,20.03.2020 02:00,1
1.160.163.110,74,spam,25.02.2020 01:50,1
1.160.27.46,74,spam,08.04.2020 01:50,1
1.54.198.49,74,spam,04.04.2020 17:50,1
